t,goodput_bps,wire_bps
0.500,0.0,0.0
1.000,0.0,0.0
1.500,0.0,0.0
2.000,0.0,0.0
2.500,0.0,0.0
3.000,0.0,0.0
3.500,0.0,0.0
4.000,0.0,0.0
4.500,0.0,0.0
5.000,0.0,0.0
5.500,0.0,0.0
6.000,0.0,0.0
6.500,0.0,0.0
7.000,0.0,0.0
7.500,0.0,0.0
8.000,0.0,0.0
8.500,51340800.0,52440960.0
9.000,51475200.0,52578240.0
9.500,51475200.0,52578240.0
10.000,51452800.0,52555360.0
10.500,52707200.0,53836640.0
11.000,52707200.0,53836640.0
11.500,52729600.0,53859520.0
12.000,52707200.0,53836640.0
12.500,54924800.0,56101760.0
13.000,54924800.0,56101760.0
13.500,54947200.0,56124640.0
14.000,54924800.0,56101760.0
14.500,52393600.0,53516320.0
15.000,52393600.0,53516320.0
15.500,52393600.0,53516320.0
16.000,52393600.0,53516320.0
16.500,49369600.0,50427520.0
17.000,49369600.0,50427520.0
17.500,49369600.0,50427520.0
18.000,49369600.0,50427520.0
18.500,45180800.0,46148960.0
19.000,45180800.0,46148960.0
19.500,45180800.0,46148960.0
20.000,45158400.0,46126080.0
20.500,44643200.0,45599840.0
21.000,44643200.0,45599840.0
21.500,44643200.0,45599840.0
22.000,44643200.0,45599840.0
22.500,42716800.0,43632160.0
23.000,42716800.0,43632160.0
23.500,42716800.0,43632160.0
24.000,42716800.0,43632160.0
24.500,42134400.0,43037280.0
25.000,42156800.0,43060160.0
25.500,42156800.0,43060160.0
26.000,42156800.0,43060160.0
26.500,41283200.0,42167840.0
27.000,41283200.0,42167840.0
27.500,41283200.0,42167840.0
28.000,41283200.0,42167840.0
28.500,44464000.0,45416800.0
29.000,44486400.0,45439680.0
29.500,44486400.0,45439680.0
30.000,44464000.0,45416800.0
30.500,44038400.0,44982080.0
31.000,44016000.0,44959200.0
31.500,44038400.0,44982080.0
32.000,44016000.0,44959200.0
32.500,44867200.0,45828640.0
33.000,44867200.0,45828640.0
33.500,44867200.0,45828640.0
34.000,44889600.0,45851520.0
34.500,46883200.0,47887840.0
35.000,46928000.0,47933600.0
35.500,46905600.0,47910720.0
36.000,46905600.0,47910720.0
36.500,48092800.0,49123360.0
37.000,48070400.0,49100480.0
37.500,48092800.0,49123360.0
38.000,48092800.0,49123360.0
38.500,49750400.0,50816480.0
39.000,49750400.0,50816480.0
39.500,49750400.0,50816480.0
40.000,49772800.0,50839360.0
40.500,52259200.0,53379040.0
41.000,52304000.0,53424800.0
41.500,52304000.0,53424800.0
42.000,52281600.0,53401920.0
42.500,53334400.0,54477280.0
43.000,53334400.0,54477280.0
43.500,53356800.0,54500160.0
44.000,53334400.0,54477280.0
44.500,56313600.0,57520320.0
45.000,56336000.0,57543200.0
45.500,56336000.0,57543200.0
46.000,56336000.0,57543200.0
46.500,63056000.0,64407200.0
47.000,63078400.0,64430080.0
47.500,63078400.0,64430080.0
48.000,63078400.0,64430080.0
48.500,66080000.0,67496000.0
49.000,66102400.0,67518880.0
49.500,66102400.0,67518880.0
50.000,66124800.0,67541760.0
50.500,70268800.0,71774560.0
51.000,70291200.0,71797440.0
51.500,70268800.0,71774560.0
52.000,70291200.0,71797440.0
52.500,72128000.0,73673600.0
53.000,72128000.0,73673600.0
53.500,72128000.0,73673600.0
54.000,72128000.0,73673600.0
54.500,75958400.0,77586080.0
55.000,75980800.0,77608960.0
55.500,75958400.0,77586080.0
56.000,75980800.0,77608960.0
56.500,72889600.0,74451520.0
57.000,72912000.0,74474400.0
57.500,72889600.0,74451520.0
58.000,72912000.0,74474400.0
58.500,72307200.0,73856640.0
59.000,72307200.0,73856640.0
59.500,72307200.0,73856640.0
60.000,72307200.0,73856640.0
60.500,74390400.0,75984480.0
61.000,74390400.0,75984480.0
61.500,74412800.0,76007360.0
62.000,74412800.0,76007360.0
62.500,77190400.0,78844480.0
63.000,77190400.0,78844480.0
63.500,77212800.0,78867360.0
64.000,77190400.0,78844480.0
64.500,76876800.0,78524160.0
65.000,76854400.0,78501280.0
65.500,76854400.0,78501280.0
66.000,76854400.0,78501280.0
66.500,76697600.0,78341120.0
67.000,76675200.0,78318240.0
67.500,76675200.0,78318240.0
68.000,76675200.0,78318240.0
68.500,77504000.0,79164800.0
69.000,77504000.0,79164800.0
69.500,77504000.0,79164800.0
70.000,77504000.0,79164800.0
70.500,78444800.0,80125760.0
71.000,78467200.0,80148640.0
71.500,78444800.0,80125760.0
72.000,78467200.0,80148640.0
72.500,78198400.0,79874080.0
73.000,78220800.0,79896960.0
73.500,78198400.0,79874080.0
74.000,78198400.0,79874080.0
74.500,75756800.0,77380160.0
75.000,75734400.0,77357280.0
75.500,75734400.0,77357280.0
76.000,75756800.0,77380160.0
76.500,75084800.0,76693760.0
77.000,75107200.0,76716640.0
77.500,75107200.0,76716640.0
78.000,75084800.0,76693760.0
78.500,76406400.0,78043680.0
79.000,76406400.0,78043680.0
79.500,76406400.0,78043680.0
80.000,76406400.0,78043680.0
80.500,77862400.0,79530880.0
81.000,77862400.0,79530880.0
81.500,77884800.0,79553760.0
82.000,77862400.0,79530880.0
82.500,77750400.0,79416480.0
83.000,77772800.0,79439360.0
83.500,77750400.0,79416480.0
84.000,77750400.0,79416480.0
84.500,79072000.0,80766400.0
85.000,79072000.0,80766400.0
85.500,79094400.0,80789280.0
86.000,79072000.0,80766400.0
86.500,78691200.0,80377440.0
87.000,78691200.0,80377440.0
87.500,78691200.0,80377440.0
88.000,78691200.0,80377440.0
88.500,79676800.0,81384160.0
89.000,79699200.0,81407040.0
89.500,79699200.0,81407040.0
90.000,79721600.0,81429920.0
90.500,79900800.0,81612960.0
91.000,79900800.0,81612960.0
91.500,79923200.0,81635840.0
92.000,79923200.0,81635840.0
92.500,79676800.0,81384160.0
93.000,79699200.0,81407040.0
93.500,79699200.0,81407040.0
94.000,79721600.0,81429920.0
94.500,80035200.0,81750240.0
95.000,80080000.0,81796000.0
95.500,80057600.0,81773120.0
96.000,80080000.0,81796000.0
96.500,80080000.0,81796000.0
97.000,80102400.0,81818880.0
97.500,80102400.0,81818880.0
98.000,80102400.0,81818880.0
98.500,79788800.0,81498560.0
99.000,79833600.0,81544320.0
99.500,79811200.0,81521440.0
100.000,79811200.0,81521440.0
100.500,80371200.0,82093440.0
101.000,80371200.0,82093440.0
101.500,80393600.0,82116320.0
102.000,80371200.0,82093440.0
102.500,80281600.0,82001920.0
103.000,80326400.0,82047680.0
103.500,80304000.0,82024800.0
104.000,80326400.0,82047680.0
104.500,81670400.0,83420480.0
105.000,81670400.0,83420480.0
105.500,81692800.0,83443360.0
106.000,81692800.0,83443360.0
106.500,81513600.0,83260320.0
107.000,81536000.0,83283200.0
107.500,81536000.0,83283200.0
108.000,81513600.0,83260320.0
108.500,80595200.0,82322240.0
109.000,80617600.0,82345120.0
109.500,80595200.0,82322240.0
110.000,80595200.0,82322240.0
110.500,80035200.0,81750240.0
111.000,80057600.0,81773120.0
111.500,80035200.0,81750240.0
112.000,80035200.0,81750240.0
112.500,81043200.0,82779840.0
113.000,81043200.0,82779840.0
113.500,81043200.0,82779840.0
114.000,81020800.0,82756960.0
114.500,81603200.0,83351840.0
115.000,81580800.0,83328960.0
115.500,81603200.0,83351840.0
116.000,81603200.0,83351840.0
116.500,81849600.0,83603520.0
117.000,81872000.0,83626400.0
117.500,81849600.0,83603520.0
118.000,81849600.0,83603520.0
118.500,82364800.0,84129760.0
119.000,82364800.0,84129760.0
119.500,82364800.0,84129760.0
120.000,82364800.0,84129760.0
120.500,83014400.0,84793280.0
121.000,83014400.0,84793280.0
121.500,83014400.0,84793280.0
122.000,83014400.0,84793280.0
122.500,83350400.0,85136480.0
123.000,83395200.0,85182240.0
123.500,83372800.0,85159360.0
124.000,83395200.0,85182240.0
124.500,83283200.0,85067840.0
125.000,83283200.0,85067840.0
125.500,83305600.0,85090720.0
126.000,83305600.0,85090720.0
126.500,81625600.0,83374720.0
127.000,81603200.0,83351840.0
127.500,81625600.0,83374720.0
128.000,81625600.0,83374720.0
128.500,82387200.0,84152640.0
129.000,82387200.0,84152640.0
129.500,82387200.0,84152640.0
130.000,82387200.0,84152640.0
130.500,83283200.0,85067840.0
131.000,83283200.0,85067840.0
131.500,83283200.0,85067840.0
132.000,83283200.0,85067840.0
132.500,83932800.0,85731360.0
133.000,83955200.0,85754240.0
133.500,83932800.0,85731360.0
134.000,83955200.0,85754240.0
134.500,85232000.0,87058400.0
135.000,85232000.0,87058400.0
135.500,85254400.0,87081280.0
136.000,85232000.0,87058400.0
136.500,85836800.0,87676160.0
137.000,85836800.0,87676160.0
137.500,85836800.0,87676160.0
138.000,85859200.0,87699040.0
138.500,87091200.0,88957440.0
139.000,87091200.0,88957440.0
139.500,87113600.0,88980320.0
140.000,87091200.0,88957440.0
140.500,88412800.0,90307360.0
141.000,88435200.0,90330240.0
141.500,88412800.0,90307360.0
142.000,88412800.0,90307360.0
142.500,90160000.0,92092000.0
143.000,90160000.0,92092000.0
143.500,90160000.0,92092000.0
144.000,90160000.0,92092000.0
144.500,90921600.0,92869920.0
145.000,90921600.0,92869920.0
145.500,90921600.0,92869920.0
146.000,90921600.0,92869920.0
146.500,93251200.0,95249440.0
147.000,93296000.0,95295200.0
147.500,93273600.0,95272320.0
148.000,93296000.0,95295200.0
148.500,95648000.0,97697600.0
149.000,95692800.0,97743360.0
149.500,95692800.0,97743360.0
150.000,95692800.0,97743360.0
150.500,96633600.0,98704320.0
151.000,96633600.0,98704320.0
151.500,96633600.0,98704320.0
152.000,96633600.0,98704320.0
152.500,98358400.0,100466080.0
153.000,98380800.0,100488960.0
153.500,98380800.0,100488960.0
154.000,98380800.0,100488960.0
154.500,99164800.0,101289760.0
155.000,99187200.0,101312640.0
155.500,99187200.0,101312640.0
156.000,99187200.0,101312640.0
156.500,99478400.0,101610080.0
157.000,99478400.0,101610080.0
157.500,99500800.0,101632960.0
158.000,99478400.0,101610080.0
158.500,99568000.0,101701600.0
159.000,99545600.0,101678720.0
159.500,99568000.0,101701600.0
160.000,99568000.0,101701600.0
160.500,97753600.0,99848320.0
161.000,97753600.0,99848320.0
161.500,97776000.0,99871200.0
162.000,97776000.0,99871200.0
162.500,98156800.0,100260160.0
163.000,98179200.0,100283040.0
163.500,98179200.0,100283040.0
164.000,98179200.0,100283040.0
164.500,98201600.0,100305920.0
165.000,98179200.0,100283040.0
165.500,98201600.0,100305920.0
166.000,98179200.0,100283040.0
166.500,96230400.0,98292480.0
167.000,96208000.0,98269600.0
167.500,96230400.0,98292480.0
168.000,96230400.0,98292480.0
168.500,96051200.0,98109440.0
169.000,96073600.0,98132320.0
169.500,96051200.0,98109440.0
170.000,96073600.0,98132320.0
170.500,94774400.0,96805280.0
171.000,94796800.0,96828160.0
171.500,94774400.0,96805280.0
172.000,94796800.0,96828160.0
172.500,93251200.0,95249440.0
173.000,93273600.0,95272320.0
173.500,93251200.0,95249440.0
174.000,93273600.0,95272320.0
174.500,90227200.0,92160640.0
175.000,90204800.0,92137760.0
175.500,90227200.0,92160640.0
176.000,90227200.0,92160640.0
176.500,89353600.0,91268320.0
177.000,89353600.0,91268320.0
177.500,89376000.0,91291200.0
178.000,89376000.0,91291200.0
178.500,84873600.0,86692320.0
179.000,84896000.0,86715200.0
179.500,84873600.0,86692320.0
180.000,84896000.0,86715200.0
180.500,81894400.0,83649280.0
181.000,81894400.0,83649280.0
181.500,81872000.0,83626400.0
182.000,81894400.0,83649280.0
182.500,77996800.0,79668160.0
183.000,77996800.0,79668160.0
183.500,77996800.0,79668160.0
184.000,78019200.0,79691040.0
184.500,73248000.0,74817600.0
185.000,73270400.0,74840480.0
185.500,73270400.0,74840480.0
186.000,73270400.0,74840480.0
186.500,68723200.0,70195840.0
187.000,68768000.0,70241600.0
187.500,68745600.0,70218720.0
188.000,68768000.0,70241600.0
188.500,66886400.0,68319680.0
189.000,66931200.0,68365440.0
189.500,66908800.0,68342560.0
190.000,66908800.0,68342560.0
190.500,63571200.0,64933440.0
191.000,63571200.0,64933440.0
191.500,63571200.0,64933440.0
192.000,63548800.0,64910560.0
192.500,58486400.0,59739680.0
193.000,58486400.0,59739680.0
193.500,58508800.0,59762560.0
194.000,58486400.0,59739680.0
194.500,56806400.0,58023680.0
195.000,56828800.0,58046560.0
195.500,56828800.0,58046560.0
196.000,56828800.0,58046560.0
196.500,54611200.0,55781440.0
197.000,54611200.0,55781440.0
197.500,54633600.0,55804320.0
198.000,54611200.0,55781440.0
198.500,53244800.0,54385760.0
199.000,53222400.0,54362880.0
199.500,53222400.0,54362880.0
200.000,53222400.0,54362880.0
200.500,50489600.0,51571520.0
201.000,50467200.0,51548640.0
201.500,50489600.0,51571520.0
202.000,50489600.0,51571520.0
202.500,48003200.0,49031840.0
203.000,47980800.0,49008960.0
203.500,48003200.0,49031840.0
204.000,47980800.0,49008960.0
204.500,46681600.0,47681920.0
205.000,46704000.0,47704800.0
205.500,46681600.0,47681920.0
206.000,46704000.0,47704800.0
206.500,44956800.0,45920160.0
207.000,45001600.0,45965920.0
207.500,44979200.0,45943040.0
208.000,44979200.0,45943040.0
208.500,43747200.0,44684640.0
209.000,43747200.0,44684640.0
209.500,43769600.0,44707520.0
210.000,43747200.0,44684640.0
210.500,41283200.0,42167840.0
211.000,41283200.0,42167840.0
211.500,41260800.0,42144960.0
212.000,41283200.0,42167840.0
212.500,41148800.0,42030560.0
213.000,41171200.0,42053440.0
213.500,41148800.0,42030560.0
214.000,41171200.0,42053440.0
214.500,40118400.0,40978080.0
215.000,40140800.0,41000960.0
215.500,40140800.0,41000960.0
216.000,40140800.0,41000960.0
216.500,38796800.0,39628160.0
217.000,38774400.0,39605280.0
217.500,38796800.0,39628160.0
218.000,38796800.0,39628160.0
218.500,38438400.0,39262080.0
219.000,38483200.0,39307840.0
219.500,38483200.0,39307840.0
220.000,38460800.0,39284960.0
220.500,38281600.0,39101920.0
221.000,38259200.0,39079040.0
221.500,38281600.0,39101920.0
222.000,38281600.0,39101920.0
222.500,39692800.0,40543360.0
223.000,39737600.0,40589120.0
223.500,39715200.0,40566240.0
224.000,39715200.0,40566240.0
224.500,40320000.0,41184000.0
225.000,40320000.0,41184000.0
225.500,40320000.0,41184000.0
226.000,40320000.0,41184000.0
226.500,41708800.0,42602560.0
227.000,41708800.0,42602560.0
227.500,41731200.0,42625440.0
228.000,41708800.0,42602560.0
228.500,42985600.0,43906720.0
229.000,43008000.0,43929600.0
229.500,43008000.0,43929600.0
230.000,42985600.0,43906720.0
230.500,45024000.0,45988800.0
231.000,45024000.0,45988800.0
231.500,45046400.0,46011680.0
232.000,45024000.0,45988800.0
232.500,47980800.0,49008960.0
233.000,48003200.0,49031840.0
233.500,48003200.0,49031840.0
234.000,48025600.0,49054720.0
234.500,48563200.0,49603840.0
235.000,48585600.0,49626720.0
235.500,48585600.0,49626720.0
236.000,48585600.0,49626720.0
236.500,50422400.0,51502880.0
237.000,50422400.0,51502880.0
237.500,50444800.0,51525760.0
238.000,50422400.0,51502880.0
238.500,51788800.0,52898560.0
239.000,51811200.0,52921440.0
239.500,51788800.0,52898560.0
240.000,51811200.0,52921440.0
240.500,53356800.0,54500160.0
241.000,53356800.0,54500160.0
241.500,53356800.0,54500160.0
242.000,53379200.0,54523040.0
242.500,54880000.0,56056000.0
243.000,54880000.0,56056000.0
243.500,54902400.0,56078880.0
244.000,54880000.0,56056000.0
244.500,55888000.0,57085600.0
245.000,55865600.0,57062720.0
245.500,55888000.0,57085600.0
246.000,55865600.0,57062720.0
246.500,61958400.0,63286080.0
247.000,61980800.0,63308960.0
247.500,61980800.0,63308960.0
248.000,61958400.0,63286080.0
248.500,63369600.0,64727520.0
249.000,63392000.0,64750400.0
249.500,63369600.0,64727520.0
250.000,63392000.0,64750400.0
250.500,68768000.0,70241600.0
251.000,68790400.0,70264480.0
251.500,68790400.0,70264480.0
252.000,68790400.0,70264480.0
252.500,72396800.0,73948160.0
253.000,72396800.0,73948160.0
253.500,72396800.0,73948160.0
254.000,72396800.0,73948160.0
254.500,77056000.0,78707200.0
255.000,77123200.0,78775840.0
255.500,77100800.0,78752960.0
256.000,77100800.0,78752960.0
256.500,78355200.0,80034240.0
257.000,78377600.0,80057120.0
257.500,78377600.0,80057120.0
258.000,78355200.0,80034240.0
258.500,76944000.0,78592800.0
259.000,76944000.0,78592800.0
259.500,76921600.0,78569920.0
260.000,76944000.0,78592800.0
260.500,77033600.0,78684320.0
261.000,77056000.0,78707200.0
261.500,77056000.0,78707200.0
262.000,77033600.0,78684320.0
262.500,78041600.0,79713920.0
263.000,78041600.0,79713920.0
263.500,78041600.0,79713920.0
264.000,78041600.0,79713920.0
264.500,80416000.0,82139200.0
265.000,80438400.0,82162080.0
265.500,80438400.0,82162080.0
266.000,80438400.0,82162080.0
266.500,78377600.0,80057120.0
267.000,78377600.0,80057120.0
267.500,78400000.0,80080000.0
268.000,78377600.0,80057120.0
268.500,78758400.0,80446080.0
269.000,78780800.0,80468960.0
269.500,78780800.0,80468960.0
270.000,78780800.0,80468960.0
270.500,79452800.0,81155360.0
271.000,79475200.0,81178240.0
271.500,79475200.0,81178240.0
272.000,79497600.0,81201120.0
272.500,81289600.0,83031520.0
273.000,81289600.0,83031520.0
273.500,81312000.0,83054400.0
274.000,81312000.0,83054400.0
274.500,80348800.0,82070560.0
275.000,80393600.0,82116320.0
275.500,80371200.0,82093440.0
276.000,80393600.0,82116320.0
276.500,79363200.0,81063840.0
277.000,79363200.0,81063840.0
