t,goodput_bps,wire_bps
0.500,0.0,0.0
1.000,0.0,0.0
1.500,0.0,0.0
2.000,0.0,0.0
2.500,0.0,0.0
3.000,0.0,0.0
3.500,0.0,0.0
4.000,0.0,0.0
4.500,0.0,0.0
5.000,0.0,0.0
5.500,0.0,0.0
6.000,0.0,0.0
6.500,0.0,0.0
7.000,0.0,0.0
7.500,0.0,0.0
8.000,0.0,0.0
8.500,513632000.0,524638400.0
9.000,514684800.0,525713760.0
9.500,514684800.0,525713760.0
10.000,514684800.0,525713760.0
10.500,527116800.0,538412160.0
11.000,527161600.0,538457920.0
11.500,527161600.0,538457920.0
12.000,527161600.0,538457920.0
12.500,549315200.0,561086240.0
13.000,549360000.0,561132000.0
13.500,549360000.0,561132000.0
14.000,549382400.0,561154880.0
14.500,523958400.0,535186080.0
15.000,523936000.0,535163200.0
15.500,523913600.0,535140320.0
16.000,523936000.0,535163200.0
16.500,493785600.0,504366720.0
17.000,493740800.0,504320960.0
17.500,493740800.0,504320960.0
18.000,493740800.0,504320960.0
18.500,451830400.0,461512480.0
19.000,451763200.0,461443840.0
19.500,451740800.0,461420960.0
20.000,451763200.0,461443840.0
20.500,446409600.0,455975520.0
21.000,446387200.0,455952640.0
21.500,446387200.0,455952640.0
22.000,446387200.0,455952640.0
22.500,427257600.0,436413120.0
23.000,427190400.0,436344480.0
23.500,427212800.0,436367360.0
24.000,427212800.0,436367360.0
24.500,421523200.0,430555840.0
25.000,421523200.0,430555840.0
25.500,421523200.0,430555840.0
26.000,421545600.0,430578720.0
26.500,412854400.0,421701280.0
27.000,412854400.0,421701280.0
27.500,412854400.0,421701280.0
28.000,412854400.0,421701280.0
28.500,444729600.0,454259520.0
29.000,444819200.0,454351040.0
29.500,444819200.0,454351040.0
30.000,444819200.0,454351040.0
30.500,440249600.0,449683520.0
31.000,440249600.0,449683520.0
31.500,440249600.0,449683520.0
32.000,440249600.0,449683520.0
32.500,448739200.0,458355040.0
33.000,448761600.0,458377920.0
33.500,448739200.0,458355040.0
34.000,448761600.0,458377920.0
34.500,469078400.0,479130080.0
35.000,469123200.0,479175840.0
35.500,469123200.0,479175840.0
36.000,469145600.0,479198720.0
36.500,480838400.0,491142080.0
37.000,480860800.0,491164960.0
37.500,480883200.0,491187840.0
38.000,480860800.0,491164960.0
38.500,497526400.0,508187680.0
39.000,497571200.0,508233440.0
39.500,497548800.0,508210560.0
40.000,497548800.0,508210560.0
40.500,522928000.0,534133600.0
41.000,522972800.0,534179360.0
41.500,522972800.0,534179360.0
42.000,522972800.0,534179360.0
42.500,533433600.0,544864320.0
43.000,533456000.0,544887200.0
43.500,533456000.0,544887200.0
44.000,533456000.0,544887200.0
44.500,563292800.0,575363360.0
45.000,563337600.0,575409120.0
45.500,563360000.0,575432000.0
46.000,563337600.0,575409120.0
46.500,630672000.0,644186400.0
47.000,630806400.0,644323680.0
47.500,630806400.0,644323680.0
48.000,630806400.0,644323680.0
48.500,660979200.0,675143040.0
49.000,661046400.0,675211680.0
49.500,661024000.0,675188800.0
50.000,661046400.0,675211680.0
50.500,702755200.0,717814240.0
51.000,702844800.0,717905760.0
51.500,702867200.0,717928640.0
52.000,702844800.0,717905760.0
52.500,721280000.0,736736000.0
53.000,721324800.0,736781760.0
53.500,721324800.0,736781760.0
54.000,721324800.0,736781760.0
54.500,759628800.0,775906560.0
55.000,759740800.0,776020960.0
55.500,759718400.0,775998080.0
56.000,759740800.0,776020960.0
56.500,729075200.0,744698240.0
57.000,729008000.0,744629600.0
57.500,729030400.0,744652480.0
58.000,729030400.0,744652480.0
58.500,723094400.0,738589280.0
59.000,723094400.0,738589280.0
59.500,723072000.0,738566400.0
60.000,723094400.0,738589280.0
60.500,743993600.0,759936320.0
61.000,744038400.0,759982080.0
61.500,744038400.0,759982080.0
62.000,744038400.0,759982080.0
62.500,771948800.0,788490560.0
63.000,772038400.0,788582080.0
63.500,772060800.0,788604960.0
64.000,772038400.0,788582080.0
64.500,768588800.0,785058560.0
65.000,768588800.0,785058560.0
65.500,768611200.0,785081440.0
66.000,768588800.0,785058560.0
66.500,766796800.0,783228160.0
67.000,766819200.0,783251040.0
67.500,766796800.0,783228160.0
68.000,766819200.0,783251040.0
68.500,775017600.0,791625120.0
69.000,775017600.0,791625120.0
69.500,775040000.0,791648000.0
70.000,775040000.0,791648000.0
70.500,784604800.0,801417760.0
71.000,784627200.0,801440640.0
71.500,784649600.0,801463520.0
72.000,784649600.0,801463520.0
72.500,782051200.0,798809440.0
73.000,782073600.0,798832320.0
73.500,782073600.0,798832320.0
74.000,782051200.0,798809440.0
74.500,757478400.0,773710080.0
75.000,757411200.0,773641440.0
75.500,757433600.0,773664320.0
76.000,757411200.0,773641440.0
76.500,751027200.0,767120640.0
77.000,751027200.0,767120640.0
77.500,751004800.0,767097760.0
78.000,751027200.0,767120640.0
78.500,764019200.0,780391040.0
79.000,764019200.0,780391040.0
79.500,764041600.0,780413920.0
80.000,764041600.0,780413920.0
80.500,778691200.0,795377440.0
81.000,778758400.0,795446080.0
81.500,778758400.0,795446080.0
82.000,778736000.0,795423200.0
82.500,777548800.0,794210560.0
83.000,777571200.0,794233440.0
83.500,777548800.0,794210560.0
84.000,777571200.0,794233440.0
84.500,790809600.0,807755520.0
85.000,790854400.0,807801280.0
85.500,790854400.0,807801280.0
86.000,790832000.0,807778400.0
86.500,786889600.0,803751520.0
87.000,786912000.0,803774400.0
87.500,786912000.0,803774400.0
88.000,786889600.0,803751520.0
88.500,797014400.0,814093280.0
89.000,797036800.0,814116160.0
89.500,797036800.0,814116160.0
90.000,797036800.0,814116160.0
90.500,799142400.0,816266880.0
91.000,799142400.0,816266880.0
91.500,799142400.0,816266880.0
92.000,799142400.0,816266880.0
92.500,797036800.0,814116160.0
93.000,797036800.0,814116160.0
93.500,797036800.0,814116160.0
94.000,797036800.0,814116160.0
94.500,800688000.0,817845600.0
95.000,800665600.0,817822720.0
95.500,800688000.0,817845600.0
96.000,800688000.0,817845600.0
96.500,801024000.0,818188800.0
97.000,801024000.0,818188800.0
97.500,801024000.0,818188800.0
98.000,801046400.0,818211680.0
98.500,798179200.0,815283040.0
99.000,798179200.0,815283040.0
99.500,798156800.0,815260160.0
100.000,798179200.0,815283040.0
100.500,803779200.0,821003040.0
101.000,803779200.0,821003040.0
101.500,803801600.0,821025920.0
102.000,803779200.0,821003040.0
102.500,803152000.0,820362400.0
103.000,803152000.0,820362400.0
103.500,803152000.0,820362400.0
104.000,803152000.0,820362400.0
104.500,816816000.0,834319200.0
105.000,816860800.0,834364960.0
105.500,816860800.0,834364960.0
106.000,816860800.0,834364960.0
106.500,815270400.0,832740480.0
107.000,815248000.0,832717600.0
107.500,815248000.0,832717600.0
108.000,815270400.0,832740480.0
108.500,806041600.0,823313920.0
109.000,806041600.0,823313920.0
109.500,806064000.0,823336800.0
110.000,806041600.0,823313920.0
110.500,800396800.0,817548160.0
111.000,800396800.0,817548160.0
111.500,800396800.0,817548160.0
112.000,800396800.0,817548160.0
112.500,810387200.0,827752640.0
113.000,810432000.0,827798400.0
113.500,810409600.0,827775520.0
114.000,810432000.0,827798400.0
114.500,815920000.0,833404000.0
115.000,815987200.0,833472640.0
115.500,815964800.0,833449760.0
116.000,815964800.0,833449760.0
116.500,818563200.0,836103840.0
117.000,818608000.0,836149600.0
117.500,818585600.0,836126720.0
118.000,818585600.0,836126720.0
118.500,823648000.0,841297600.0
119.000,823648000.0,841297600.0
119.500,823648000.0,841297600.0
120.000,823648000.0,841297600.0
120.500,830099200.0,847887040.0
121.000,830121600.0,847909920.0
121.500,830121600.0,847909920.0
122.000,830121600.0,847909920.0
122.500,833795200.0,851662240.0
123.000,833840000.0,851708000.0
123.500,833817600.0,851685120.0
124.000,833840000.0,851708000.0
124.500,833011200.0,850861440.0
125.000,833033600.0,850884320.0
125.500,833011200.0,850861440.0
126.000,833033600.0,850884320.0
126.500,816233600.0,833724320.0
127.000,816211200.0,833701440.0
127.500,816211200.0,833701440.0
128.000,816211200.0,833701440.0
128.500,823849600.0,841503520.0
129.000,823894400.0,841549280.0
129.500,823894400.0,841549280.0
130.000,823894400.0,841549280.0
130.500,832809600.0,850655520.0
131.000,832832000.0,850678400.0
131.500,832832000.0,850678400.0
132.000,832854400.0,850701280.0
132.500,839417600.0,857405120.0
133.000,839440000.0,857428000.0
133.500,839462400.0,857450880.0
134.000,839462400.0,857450880.0
134.500,852387200.0,870652640.0
135.000,852409600.0,870675520.0
135.500,852432000.0,870698400.0
136.000,852432000.0,870698400.0
136.500,858390400.0,876784480.0
137.000,858435200.0,876830240.0
137.500,858435200.0,876830240.0
138.000,858435200.0,876830240.0
138.500,871024000.0,889688800.0
139.000,871046400.0,889711680.0
139.500,871046400.0,889711680.0
140.000,871046400.0,889711680.0
140.500,884172800.0,903119360.0
141.000,884172800.0,903119360.0
141.500,884195200.0,903142240.0
142.000,884195200.0,903142240.0
142.500,901577600.0,920897120.0
143.000,901622400.0,920942880.0
143.500,901622400.0,920942880.0
144.000,901622400.0,920942880.0
144.500,909216000.0,928699200.0
145.000,909238400.0,928722080.0
145.500,909238400.0,928722080.0
146.000,909238400.0,928722080.0
146.500,932825600.0,952814720.0
147.000,932848000.0,952837600.0
147.500,932870400.0,952860480.0
148.000,932870400.0,952860480.0
148.500,956793600.0,977296320.0
149.000,956860800.0,977364960.0
149.500,956860800.0,977364960.0
150.000,956860800.0,977364960.0
150.500,966313600.0,987020320.0
151.000,966358400.0,987066080.0
151.500,966358400.0,987066080.0
152.000,966336000.0,987043200.0
152.500,983785600.0,1004866720.0
153.000,983852800.0,1004935360.0
153.500,983830400.0,1004912480.0
154.000,983830400.0,1004912480.0
154.500,991849600.0,1013103520.0
155.000,991849600.0,1013103520.0
155.500,991849600.0,1013103520.0
156.000,991849600.0,1013103520.0
156.500,994918400.0,1016238080.0
157.000,994940800.0,1016260960.0
157.500,994940800.0,1016260960.0
158.000,994918400.0,1016238080.0
158.500,995568000.0,1016901600.0
159.000,995545600.0,1016878720.0
159.500,995545600.0,1016878720.0
160.000,995568000.0,1016901600.0
160.500,977670400.0,998620480.0
161.000,977648000.0,998597600.0
161.500,977648000.0,998597600.0
162.000,977670400.0,998620480.0
162.500,981747200.0,1002784640.0
163.000,981769600.0,1002807520.0
163.500,981769600.0,1002807520.0
164.000,981769600.0,1002807520.0
164.500,981926400.0,1002967680.0
165.000,981926400.0,1002967680.0
165.500,981948800.0,1002990560.0
166.000,981948800.0,1002990560.0
166.500,962214400.0,982833280.0
167.000,962214400.0,982833280.0
167.500,962192000.0,982810400.0
168.000,962192000.0,982810400.0
168.500,960646400.0,981231680.0
169.000,960624000.0,981208800.0
169.500,960624000.0,981208800.0
170.000,960646400.0,981231680.0
170.500,947878400.0,968190080.0
171.000,947856000.0,968167200.0
171.500,947878400.0,968190080.0
172.000,947856000.0,968167200.0
172.500,932668800.0,952654560.0
173.000,932646400.0,952631680.0
173.500,932624000.0,952608800.0
174.000,932646400.0,952631680.0
174.500,902249600.0,921583520.0
175.000,902204800.0,921537760.0
175.500,902204800.0,921537760.0
176.000,902204800.0,921537760.0
176.500,893715200.0,912866240.0
177.000,893715200.0,912866240.0
177.500,893715200.0,912866240.0
178.000,893715200.0,912866240.0
178.500,848937600.0,867129120.0
179.000,848870400.0,867060480.0
179.500,848870400.0,867060480.0
180.000,848870400.0,867060480.0
180.500,818966400.0,836515680.0
181.000,818876800.0,836424160.0
181.500,818899200.0,836447040.0
182.000,818899200.0,836447040.0
182.500,780057600.0,796773120.0
183.000,779990400.0,796704480.0
183.500,780012800.0,796727360.0
184.000,779990400.0,796704480.0
184.500,732726400.0,748427680.0
185.000,732659200.0,748359040.0
185.500,732636800.0,748336160.0
186.000,732659200.0,748359040.0
186.500,687612800.0,702347360.0
187.000,687545600.0,702278720.0
187.500,687545600.0,702278720.0
188.000,687523200.0,702255840.0
188.500,669177600.0,683517120.0
189.000,669132800.0,683471360.0
189.500,669132800.0,683471360.0
190.000,669132800.0,683471360.0
190.500,635689600.0,649311520.0
191.000,635644800.0,649265760.0
191.500,635644800.0,649265760.0
192.000,635644800.0,649265760.0
192.500,584998400.0,597534080.0
193.000,584931200.0,597465440.0
193.500,584908800.0,597442560.0
194.000,584931200.0,597465440.0
194.500,568288000.0,580465600.0
195.000,568265600.0,580442720.0
195.500,568265600.0,580442720.0
196.000,568265600.0,580442720.0
196.500,546268800.0,557974560.0
197.000,546224000.0,557928800.0
197.500,546246400.0,557951680.0
198.000,546224000.0,557928800.0
198.500,532291200.0,543697440.0
199.000,532268800.0,543674560.0
199.500,532268800.0,543674560.0
200.000,532268800.0,543674560.0
200.500,504873600.0,515692320.0
201.000,504851200.0,515669440.0
201.500,504828800.0,515646560.0
202.000,504851200.0,515669440.0
202.500,480009600.0,490295520.0
203.000,479942400.0,490226880.0
203.500,479942400.0,490226880.0
204.000,479942400.0,490226880.0
204.500,466905600.0,476910720.0
205.000,466905600.0,476910720.0
205.500,466905600.0,476910720.0
206.000,466905600.0,476910720.0
206.500,449836800.0,459476160.0
207.000,449814400.0,459453280.0
207.500,449814400.0,459453280.0
208.000,449836800.0,459476160.0
208.500,437584000.0,446960800.0
209.000,437584000.0,446960800.0
209.500,437584000.0,446960800.0
210.000,437584000.0,446960800.0
210.500,412787200.0,421632640.0
211.000,412742400.0,421586880.0
211.500,412742400.0,421586880.0
212.000,412720000.0,421564000.0
212.500,411622400.0,420442880.0
213.000,411622400.0,420442880.0
213.500,411622400.0,420442880.0
214.000,411644800.0,420465760.0
214.500,401363200.0,409963840.0
215.000,401363200.0,409963840.0
215.500,401363200.0,409963840.0
216.000,401363200.0,409963840.0
216.500,387923200.0,396235840.0
217.000,387900800.0,396212960.0
217.500,387900800.0,396212960.0
218.000,387923200.0,396235840.0
218.500,384720000.0,392964000.0
219.000,384742400.0,392986880.0
219.500,384764800.0,393009760.0
220.000,384742400.0,392986880.0
220.500,382726400.0,390927680.0
221.000,382748800.0,390950560.0
221.500,382748800.0,390950560.0
222.000,382748800.0,390950560.0
222.500,397219200.0,405731040.0
223.000,397241600.0,405753920.0
223.500,397264000.0,405776800.0
224.000,397241600.0,405753920.0
224.500,403200000.0,411840000.0
225.000,403244800.0,411885760.0
225.500,403222400.0,411862880.0
226.000,403222400.0,411862880.0
226.500,417110400.0,426048480.0
227.000,417177600.0,426117120.0
227.500,417155200.0,426094240.0
228.000,417155200.0,426094240.0
228.500,429990400.0,439204480.0
229.000,429990400.0,439204480.0
229.500,430012800.0,439227360.0
230.000,430012800.0,439227360.0
230.500,450307200.0,459956640.0
231.000,450329600.0,459979520.0
231.500,450352000.0,460002400.0
232.000,450329600.0,459979520.0
232.500,480009600.0,490295520.0
233.000,480076800.0,490364160.0
233.500,480054400.0,490341280.0
234.000,480076800.0,490364160.0
234.500,485856000.0,496267200.0
235.000,485878400.0,496290080.0
235.500,485878400.0,496290080.0
236.000,485878400.0,496290080.0
236.500,504268800.0,515074560.0
237.000,504291200.0,515097440.0
237.500,504291200.0,515097440.0
238.000,504313600.0,515120320.0
238.500,517977600.0,529077120.0
239.000,518000000.0,529100000.0
239.500,518022400.0,529122880.0
240.000,518022400.0,529122880.0
240.500,533590400.0,545024480.0
241.000,533635200.0,545070240.0
241.500,533635200.0,545070240.0
242.000,533635200.0,545070240.0
242.500,548867200.0,560628640.0
243.000,548912000.0,560674400.0
243.500,548912000.0,560674400.0
244.000,548912000.0,560674400.0
244.500,558723200.0,570695840.0
245.000,558790400.0,570764480.0
245.500,558768000.0,570741600.0
246.000,558768000.0,570741600.0
246.500,619561600.0,632837920.0
247.000,619718400.0,632998080.0
247.500,619718400.0,632998080.0
248.000,619696000.0,632975200.0
248.500,633785600.0,647366720.0
249.000,633785600.0,647366720.0
249.500,633808000.0,647389600.0
250.000,633808000.0,647389600.0
250.500,687792000.0,702530400.0
251.000,687926400.0,702667680.0
251.500,687926400.0,702667680.0
252.000,687904000.0,702644800.0
252.500,723900800.0,739412960.0
253.000,723990400.0,739504480.0
253.500,723968000.0,739481600.0
254.000,723990400.0,739504480.0
254.500,770918400.0,787438080.0
255.000,771030400.0,787552480.0
255.500,771030400.0,787552480.0
256.000,771030400.0,787552480.0
256.500,783686400.0,800479680.0
257.000,783708800.0,800502560.0
257.500,783708800.0,800502560.0
258.000,783708800.0,800502560.0
258.500,769417600.0,785905120.0
259.000,769395200.0,785882240.0
259.500,769395200.0,785882240.0
260.000,769372800.0,785859360.0
260.500,770492800.0,787003360.0
261.000,770492800.0,787003360.0
261.500,770492800.0,787003360.0
262.000,770515200.0,787026240.0
262.500,780348800.0,797070560.0
263.000,780371200.0,797093440.0
263.500,780371200.0,797093440.0
264.000,780393600.0,797116320.0
264.500,804361600.0,821597920.0
265.000,804428800.0,821666560.0
265.500,804428800.0,821666560.0
266.000,804406400.0,821643680.0
266.500,783865600.0,800662720.0
267.000,783820800.0,800616960.0
267.500,783820800.0,800616960.0
268.000,783820800.0,800616960.0
268.500,787763200.0,804643840.0
269.000,787785600.0,804666720.0
269.500,787785600.0,804666720.0
270.000,787785600.0,804666720.0
270.500,794752000.0,811782400.0
271.000,794774400.0,811805280.0
271.500,794796800.0,811828160.0
272.000,794774400.0,811805280.0
272.500,813008000.0,830429600.0
273.000,813075200.0,830498240.0
273.500,813052800.0,830475360.0
274.000,813075200.0,830498240.0
274.500,803846400.0,821071680.0
275.000,803846400.0,821071680.0
275.500,803846400.0,821071680.0
276.000,803846400.0,821071680.0
