t,goodput_bps,wire_bps
1.000,0.0,0.0
2.000,0.0,0.0
3.000,0.0,0.0
4.000,0.0,0.0
5.000,0.0,0.0
6.000,0.0,0.0
7.000,0.0,0.0
8.000,0.0,0.0
9.000,0.0,0.0
10.000,0.0,0.0
11.000,0.0,0.0
12.000,0.0,0.0
13.000,109692800.0,112043360.0
14.000,109804800.0,112157760.0
15.000,109816000.0,112169200.0
16.000,109804800.0,112157760.0
17.000,109804800.0,112157760.0
18.000,109816000.0,112169200.0
19.000,90193600.0,92126320.0
20.000,90171200.0,92103440.0
21.000,90171200.0,92103440.0
22.000,90182400.0,92114880.0
23.000,90171200.0,92103440.0
24.000,90182400.0,92114880.0
25.000,84235200.0,86040240.0
26.000,84224000.0,86028800.0
27.000,84235200.0,86040240.0
28.000,84235200.0,86040240.0
29.000,84235200.0,86040240.0
30.000,84235200.0,86040240.0
31.000,88737600.0,90639120.0
32.000,88748800.0,90650560.0
33.000,88760000.0,90662000.0
34.000,88760000.0,90662000.0
35.000,88748800.0,90650560.0
36.000,88760000.0,90662000.0
37.000,97585600.0,99676720.0
38.000,97608000.0,99699600.0
39.000,97608000.0,99699600.0
40.000,97608000.0,99699600.0
41.000,97608000.0,99699600.0
42.000,97596800.0,99688160.0
43.000,107531200.0,109835440.0
44.000,107553600.0,109858320.0
45.000,107553600.0,109858320.0
46.000,107542400.0,109846880.0
47.000,107553600.0,109858320.0
48.000,107542400.0,109846880.0
49.000,136897600.0,139831120.0
50.000,136931200.0,139865440.0
51.000,136931200.0,139865440.0
52.000,136931200.0,139865440.0
53.000,136942400.0,139876880.0
54.000,136931200.0,139865440.0
55.000,149699200.0,152907040.0
56.000,149721600.0,152929920.0
57.000,149732800.0,152941360.0
58.000,149721600.0,152929920.0
59.000,149721600.0,152929920.0
60.000,149721600.0,152929920.0
61.000,149777600.0,152987120.0
62.000,149777600.0,152987120.0
63.000,149777600.0,152987120.0
64.000,149777600.0,152987120.0
65.000,149777600.0,152987120.0
66.000,149777600.0,152987120.0
67.000,154089600.0,157391520.0
68.000,154100800.0,157402960.0
69.000,154100800.0,157402960.0
70.000,154100800.0,157402960.0
71.000,154100800.0,157402960.0
72.000,154100800.0,157402960.0
73.000,153720000.0,157014000.0
74.000,153720000.0,157014000.0
75.000,153720000.0,157014000.0
76.000,153731200.0,157025440.0
77.000,153720000.0,157014000.0
78.000,153720000.0,157014000.0
79.000,154358400.0,157666080.0
80.000,154358400.0,157666080.0
81.000,154369600.0,157677520.0
82.000,154358400.0,157666080.0
83.000,154369600.0,157677520.0
84.000,154358400.0,157666080.0
85.000,160596800.0,164038160.0
86.000,160608000.0,164049600.0
87.000,160608000.0,164049600.0
88.000,160608000.0,164049600.0
89.000,160608000.0,164049600.0
90.000,160608000.0,164049600.0
91.000,159947200.0,163374640.0
92.000,159958400.0,163386080.0
93.000,159958400.0,163386080.0
94.000,159947200.0,163374640.0
95.000,159958400.0,163386080.0
96.000,159958400.0,163386080.0
97.000,159700800.0,163122960.0
98.000,159712000.0,163134400.0
99.000,159712000.0,163134400.0
100.000,159712000.0,163134400.0
101.000,159712000.0,163134400.0
102.000,159712000.0,163134400.0
103.000,162288000.0,165765600.0
104.000,162288000.0,165765600.0
105.000,162288000.0,165765600.0
106.000,162299200.0,165777040.0
107.000,162288000.0,165765600.0
108.000,162288000.0,165765600.0
109.000,160148800.0,163580560.0
110.000,160137600.0,163569120.0
111.000,160148800.0,163580560.0
112.000,160148800.0,163580560.0
113.000,160148800.0,163580560.0
114.000,160148800.0,163580560.0
115.000,164113600.0,167630320.0
116.000,164124800.0,167641760.0
117.000,164136000.0,167653200.0
118.000,164124800.0,167641760.0
119.000,164124800.0,167641760.0
120.000,164136000.0,167653200.0
121.000,166353600.0,169918320.0
122.000,166364800.0,169929760.0
123.000,166364800.0,169929760.0
124.000,166353600.0,169918320.0
125.000,166364800.0,169929760.0
126.000,166364800.0,169929760.0
127.000,164147200.0,167664640.0
128.000,164158400.0,167676080.0
129.000,164158400.0,167676080.0
130.000,164147200.0,167664640.0
131.000,164158400.0,167676080.0
132.000,164158400.0,167676080.0
133.000,170206400.0,173853680.0
134.000,170206400.0,173853680.0
135.000,170217600.0,173865120.0
136.000,170217600.0,173865120.0
137.000,170217600.0,173865120.0
138.000,170217600.0,173865120.0
139.000,176657600.0,180443120.0
140.000,176680000.0,180466000.0
141.000,176680000.0,180466000.0
142.000,176680000.0,180466000.0
143.000,176680000.0,180466000.0
144.000,176668800.0,180454560.0
145.000,186804800.0,190807760.0
146.000,186816000.0,190819200.0
147.000,186816000.0,190819200.0
148.000,186816000.0,190819200.0
149.000,186816000.0,190819200.0
150.000,186816000.0,190819200.0
151.000,196761600.0,200977920.0
152.000,196772800.0,200989360.0
153.000,196772800.0,200989360.0
154.000,196772800.0,200989360.0
155.000,196772800.0,200989360.0
156.000,196761600.0,200977920.0
157.000,198766400.0,203025680.0
158.000,198777600.0,203037120.0
159.000,198777600.0,203037120.0
160.000,198766400.0,203025680.0
161.000,198777600.0,203037120.0
162.000,198777600.0,203037120.0
163.000,195395200.0,199582240.0
164.000,195406400.0,199593680.0
165.000,195406400.0,199593680.0
166.000,195406400.0,199593680.0
167.000,195406400.0,199593680.0
168.000,195406400.0,199593680.0
169.000,188753600.0,192798320.0
170.000,188776000.0,192821200.0
171.000,188764800.0,192809760.0
172.000,188764800.0,192809760.0
173.000,188776000.0,192821200.0
174.000,188764800.0,192809760.0
175.000,179681600.0,183531920.0
176.000,179692800.0,183543360.0
177.000,179681600.0,183531920.0
178.000,179692800.0,183543360.0
179.000,179681600.0,183531920.0
180.000,179681600.0,183531920.0
181.000,152779200.0,156053040.0
182.000,152756800.0,156030160.0
183.000,152745600.0,156018720.0
184.000,152756800.0,156030160.0
185.000,152756800.0,156030160.0
186.000,152745600.0,156018720.0
187.000,132260800.0,135094960.0
188.000,132238400.0,135072080.0
189.000,132238400.0,135072080.0
190.000,132249600.0,135083520.0
191.000,132238400.0,135072080.0
192.000,132238400.0,135072080.0
193.000,111462400.0,113850880.0
194.000,111440000.0,113828000.0
195.000,111428800.0,113816560.0
196.000,111440000.0,113828000.0
197.000,111440000.0,113828000.0
198.000,111428800.0,113816560.0
199.000,99052800.0,101175360.0
200.000,99052800.0,101175360.0
201.000,99041600.0,101163920.0
202.000,99052800.0,101175360.0
203.000,99041600.0,101163920.0
204.000,99052800.0,101175360.0
205.000,88715200.0,90616240.0
206.000,88715200.0,90616240.0
207.000,88715200.0,90616240.0
208.000,88715200.0,90616240.0
209.000,88715200.0,90616240.0
210.000,88715200.0,90616240.0
211.000,81200000.0,82940000.0
212.000,81188800.0,82928560.0
213.000,81200000.0,82940000.0
214.000,81188800.0,82928560.0
215.000,81200000.0,82940000.0
216.000,81200000.0,82940000.0
217.000,77235200.0,78890240.0
218.000,77246400.0,78901680.0
219.000,77246400.0,78901680.0
220.000,77246400.0,78901680.0
221.000,77246400.0,78901680.0
222.000,77235200.0,78890240.0
223.000,81670400.0,83420480.0
224.000,81670400.0,83420480.0
225.000,81670400.0,83420480.0
226.000,81681600.0,83431920.0
227.000,81670400.0,83420480.0
228.000,81670400.0,83420480.0
229.000,95300800.0,97342960.0
230.000,95334400.0,97377280.0
231.000,95334400.0,97377280.0
232.000,95323200.0,97365840.0
233.000,95334400.0,97377280.0
234.000,95334400.0,97377280.0
235.000,102849600.0,105053520.0
236.000,102860800.0,105064960.0
237.000,102872000.0,105076400.0
238.000,102860800.0,105064960.0
239.000,102872000.0,105076400.0
240.000,102872000.0,105076400.0
241.000,110992000.0,113370400.0
242.000,111014400.0,113393280.0
243.000,111003200.0,113381840.0
244.000,111014400.0,113393280.0
245.000,111014400.0,113393280.0
246.000,111003200.0,113381840.0
247.000,133201600.0,136055920.0
248.000,133212800.0,136067360.0
249.000,133212800.0,136067360.0
250.000,133212800.0,136067360.0
251.000,133224000.0,136078800.0
252.000,133212800.0,136067360.0
253.000,157875200.0,161258240.0
254.000,157908800.0,161292560.0
255.000,157908800.0,161292560.0
256.000,157908800.0,161292560.0
257.000,157908800.0,161292560.0
258.000,157908800.0,161292560.0
259.000,155041600.0,158363920.0
260.000,155052800.0,158375360.0
261.000,155041600.0,158363920.0
262.000,155041600.0,158363920.0
263.000,155041600.0,158363920.0
264.000,155041600.0,158363920.0
265.000,157584000.0,160960800.0
266.000,157606400.0,160983680.0
267.000,157595200.0,160972240.0
268.000,157606400.0,160983680.0
269.000,157595200.0,160972240.0
270.000,157606400.0,160983680.0
271.000,160753600.0,164198320.0
272.000,160776000.0,164221200.0
273.000,160776000.0,164221200.0
274.000,160764800.0,164209760.0
275.000,160776000.0,164221200.0
276.000,160764800.0,164209760.0
277.000,161728000.0,165193600.0
278.000,161739200.0,165205040.0
279.000,161739200.0,165205040.0
280.000,161739200.0,165205040.0
281.000,161739200.0,165205040.0
282.000,161739200.0,165205040.0
283.000,168000.0,171600.0
284.000,0.0,0.0
285.000,0.0,0.0
286.000,0.0,0.0
287.000,0.0,0.0
288.000,0.0,0.0
