slice,t_start_s,sched_bps,goodput_bps,wire_bps,goodput_err_pct,wire_err_pct
0,0.0,1,0.0,0.0,,
1,2.0,1,0.0,0.0,,
2,4.0,1,0.0,0.0,,
3,6.0,1,0.0,0.0,,
4,8.0,51468520,51436000.0,52538200.0,-0.0632,2.0783
5,10.0,52715274,52712800.0,53842360.0,-0.0047,2.1381
6,12.0,54936075,54930400.0,56107480.0,-0.0103,2.1323
7,14.0,52391723,52393600.0,53516320.0,0.0036,2.1465
8,16.0,49373179,49369600.0,50427520.0,-0.0072,2.1355
9,18.0,45176326,45175200.0,46143240.0,-0.0025,2.1403
10,20.0,44639638,44643200.0,45599840.0,0.008,2.151
11,22.0,42719664,42716800.0,43632160.0,-0.0067,2.136
12,24.0,42152884,42151200.0,43054440.0,-0.004,2.1388
13,26.0,41285577,41283200.0,42167840.0,-0.0058,2.137
14,28.0,44480835,44475200.0,45428240.0,-0.0127,2.1299
15,30.0,44025696,44027200.0,44970640.0,0.0034,2.1463
16,32.0,44876006,44872800.0,45834360.0,-0.0071,2.1356
17,34.0,46913155,46905600.0,47910720.0,-0.0161,2.1264
18,36.0,48087284,48087200.0,49117640.0,-0.0002,2.1427
19,38.0,49754809,49756000.0,50822200.0,0.0024,2.1453
20,40.0,52296655,52287200.0,53407640.0,-0.0181,2.1244
21,42.0,53345360,53340000.0,54483000.0,-0.01,2.1326
22,44.0,56335827,56330400.0,57537480.0,-0.0096,2.133
23,46.0,63081633,63072800.0,64424360.0,-0.014,2.1286
24,48.0,66104054,66102400.0,67518880.0,-0.0025,2.1403
25,50.0,70287489,70280000.0,71786000.0,-0.0107,2.132
26,52.0,72131390,72128000.0,73673600.0,-0.0047,2.1381
27,54.0,75972734,75969600.0,77597520.0,-0.0041,2.1386
28,56.0,72902356,72900800.0,74462960.0,-0.0021,2.1407
29,58.0,72310665,72307200.0,73856640.0,-0.0048,2.138
30,60.0,74401621,74401600.0,75995920.0,-0.0,2.1428
31,62.0,77203271,77196000.0,78850200.0,-0.0094,2.1332
32,64.0,76860054,76860000.0,78507000.0,-0.0001,2.1428
33,66.0,76680944,76680800.0,78323960.0,-0.0002,2.1427
34,68.0,77503958,77504000.0,79164800.0,0.0001,2.1429
35,70.0,78462302,78456000.0,80137200.0,-0.008,2.1347
36,72.0,78204262,78204000.0,79879800.0,-0.0003,2.1425
37,74.0,75742065,75745600.0,77368720.0,0.0047,2.1476
38,76.0,75101555,75096000.0,76705200.0,-0.0074,2.1353
39,78.0,76403151,76406400.0,78043680.0,0.0043,2.1472
40,80.0,77875205,77868000.0,79536600.0,-0.0093,2.1334
41,82.0,77754936,77756000.0,79422200.0,0.0014,2.1443
42,84.0,79083669,79077600.0,80772120.0,-0.0077,2.135
43,86.0,78690070,78691200.0,80377440.0,0.0014,2.1443
44,88.0,79702382,79699200.0,81407040.0,-0.004,2.1388
45,90.0,79915879,79912000.0,81624400.0,-0.0049,2.1379
46,92.0,79702382,79699200.0,81407040.0,-0.004,2.1388
47,94.0,80066888,80063200.0,81778840.0,-0.0046,2.1382
48,96.0,80101430,80096800.0,81813160.0,-0.0058,2.137
49,98.0,79818625,79811200.0,81521440.0,-0.0093,2.1334
50,100.0,80376579,80376800.0,82099160.0,0.0003,2.1431
51,102.0,80314798,80309600.0,82030520.0,-0.0065,2.1362
52,104.0,81688654,81681600.0,83431920.0,-0.0086,2.134
53,106.0,81526605,81524800.0,83271760.0,-0.0022,2.1406
54,108.0,80602891,80600800.0,82327960.0,-0.0026,2.1402
55,110.0,80041541,80040800.0,81755960.0,-0.0009,2.1419
56,112.0,81040750,81037600.0,82774120.0,-0.0039,2.1389
57,114.0,81598600,81597600.0,83346120.0,-0.0012,2.1416
58,116.0,81858744,81855200.0,83609240.0,-0.0043,2.1384
59,118.0,82366406,82364800.0,84129760.0,-0.0019,2.1409
60,120.0,83013997,83014400.0,84793280.0,0.0005,2.1434
61,122.0,83383345,83378400.0,85165080.0,-0.0059,2.1368
62,124.0,83303709,83294400.0,85079280.0,-0.0112,2.1314
63,126.0,81622170,81620000.0,83369000.0,-0.0027,2.1401
64,128.0,82387393,82387200.0,84152640.0,-0.0002,2.1426
65,130.0,83285640,83283200.0,85067840.0,-0.0029,2.1399
66,132.0,83944674,83944000.0,85742800.0,-0.0008,2.142
67,134.0,85242815,85237600.0,87064120.0,-0.0061,2.1366
68,136.0,85843767,85842400.0,87681880.0,-0.0016,2.1412
69,138.0,87102712,87096800.0,88963160.0,-0.0068,2.1359
70,140.0,88419535,88418400.0,90313080.0,-0.0013,2.1415
71,142.0,90160902,90160000.0,92092000.0,-0.001,2.1418
72,144.0,90920898,90921600.0,92869920.0,0.0008,2.1436
73,146.0,93284113,93279200.0,95278040.0,-0.0053,2.1375
74,148.0,95689038,95681600.0,97731920.0,-0.0078,2.1349
75,150.0,96636661,96633600.0,98704320.0,-0.0032,2.1396
76,152.0,98380013,98375200.0,100483240.0,-0.0049,2.1379
77,154.0,99186971,99181600.0,101306920.0,-0.0054,2.1373
78,156.0,99490269,99484000.0,101615800.0,-0.0063,2.1364
79,158.0,99558664,99562400.0,101695880.0,0.0038,2.1467
80,160.0,97766947,97764800.0,99859760.0,-0.0022,2.1406
81,162.0,98179053,98173600.0,100277320.0,-0.0056,2.1372
82,164.0,98191606,98190400.0,100294480.0,-0.0012,2.1416
83,166.0,96219563,96224800.0,98286760.0,0.0054,2.1484
84,168.0,96065813,96062400.0,98120880.0,-0.0036,2.1392
85,170.0,94785720,94785600.0,96816720.0,-0.0001,2.1427
86,172.0,93263394,93262400.0,95260880.0,-0.0011,2.1418
87,174.0,90218917,90221600.0,92154920.0,0.003,2.1459
88,176.0,89367837,89364800.0,91279760.0,-0.0034,2.1394
89,178.0,84887759,84884800.0,86703760.0,-0.0035,2.1393
90,180.0,81892049,81888800.0,83643560.0,-0.004,2.1388
91,182.0,77999145,78002400.0,79673880.0,0.0042,2.1471
92,184.0,73264614,73264800.0,74834760.0,0.0003,2.1431
93,186.0,68755066,68751200.0,70224440.0,-0.0056,2.1371
94,188.0,66915380,66908800.0,68342560.0,-0.0098,2.1328
95,190.0,63565719,63565600.0,64927720.0,-0.0002,2.1427
96,192.0,58491685,58492000.0,59745400.0,0.0005,2.1434
97,194.0,56826284,56823200.0,58040840.0,-0.0054,2.1373
98,196.0,54622397,54616800.0,55787160.0,-0.0102,2.1324
99,198.0,53227862,53228000.0,54368600.0,0.0003,2.1431
100,200.0,50485202,50484000.0,51565800.0,-0.0024,2.1404
101,202.0,47994141,47992000.0,49020400.0,-0.0045,2.1383
102,204.0,46690484,46692800.0,47693360.0,0.005,2.1479
103,206.0,44982182,44979200.0,45943040.0,-0.0066,2.1361
104,208.0,43758852,43752800.0,44690360.0,-0.0138,2.1287
105,210.0,41274172,41277600.0,42162120.0,0.0083,2.1513
106,212.0,41162177,41160000.0,42042000.0,-0.0053,2.1375
107,214.0,40135874,40135200.0,40995240.0,-0.0017,2.1411
108,216.0,38790244,38791200.0,39622440.0,0.0025,2.1454
109,218.0,38474127,38466400.0,39290680.0,-0.0201,2.1223
110,220.0,38274443,38276000.0,39096200.0,0.0041,2.147
111,222.0,39724771,39715200.0,40566240.0,-0.0241,2.1182
112,224.0,40322656,40320000.0,41184000.0,-0.0066,2.1361
113,226.0,41716936,41714400.0,42608280.0,-0.0061,2.1366
114,228.0,43001433,42996800.0,43918160.0,-0.0108,2.1319
115,230.0,45034817,45029600.0,45994520.0,-0.0116,2.131
