slice,t_start_s,sched_bps,goodput_bps,wire_bps,goodput_err_pct,wire_err_pct
0,0.0,1,0.0,0.0,,
1,2.0,1,0.0,0.0,,
2,4.0,1,0.0,0.0,,
3,6.0,1,0.0,0.0,,
4,8.0,514685202,514421600.0,525444920.0,-0.0512,2.0905
5,10.0,527152742,527150400.0,538446480.0,-0.0004,2.1424
6,12.0,549360755,549354400.0,561126280.0,-0.0012,2.1417
7,14.0,523917230,523936000.0,535163200.0,0.0036,2.1465
8,16.0,493731798,493752000.0,504332400.0,0.0041,2.147
9,18.0,451763260,451774400.0,461455280.0,0.0025,2.1454
10,20.0,446396387,446392800.0,455958360.0,-0.0008,2.142
11,22.0,427196644,427218400.0,436373080.0,0.0051,2.1481
12,24.0,421528844,421528800.0,430561560.0,-0.0,2.1428
13,26.0,412855778,412854400.0,421701280.0,-0.0003,2.1425
14,28.0,444808355,444796800.0,454328160.0,-0.0026,2.1402
15,30.0,440256967,440249600.0,449683520.0,-0.0017,2.1411
16,32.0,448760066,448750400.0,458366480.0,-0.0022,2.1407
17,34.0,469131557,469117600.0,479170120.0,-0.003,2.1398
18,36.0,480872840,480860800.0,491164960.0,-0.0025,2.1403
19,38.0,497548096,497548800.0,508210560.0,0.0001,2.143
20,40.0,522966556,522961600.0,534167920.0,-0.0009,2.1419
21,42.0,533453601,533450400.0,544881480.0,-0.0006,2.1422
22,44.0,563358270,563332000.0,575403400.0,-0.0047,2.1381
23,46.0,630816331,630772800.0,644289360.0,-0.0069,2.1358
24,48.0,661040545,661024000.0,675188800.0,-0.0025,2.1403
25,50.0,702874893,702828000.0,717888600.0,-0.0067,2.136
26,52.0,721313902,721313600.0,736770320.0,-0.0,2.1428
27,54.0,759727348,759707200.0,775986640.0,-0.0027,2.1401
28,56.0,729023560,729036000.0,744658200.0,0.0017,2.1446
29,58.0,723106651,723088800.0,738583560.0,-0.0025,2.1403
30,60.0,744016217,744027200.0,759970640.0,0.0015,2.1444
31,62.0,772032714,772021600.0,788564920.0,-0.0014,2.1414
32,64.0,768600540,768594400.0,785064280.0,-0.0008,2.142
33,66.0,766809443,766808000.0,783239600.0,-0.0002,2.1427
34,68.0,775039589,775028800.0,791636560.0,-0.0014,2.1414
35,70.0,784623025,784632800.0,801446360.0,0.0012,2.1441
36,72.0,782042624,782062400.0,798820880.0,0.0025,2.1454
37,74.0,757420656,757433600.0,773664320.0,0.0017,2.1446
38,76.0,751015557,751021600.0,767114920.0,0.0008,2.1437
39,78.0,764031513,764030400.0,780402480.0,-0.0001,2.1427
40,80.0,778752051,778736000.0,795423200.0,-0.0021,2.1408
41,82.0,777549360,777560000.0,794222000.0,0.0014,2.1443
42,84.0,790836699,790837600.0,807784120.0,0.0001,2.143
43,86.0,786900702,786900800.0,803762960.0,0.0,2.1429
44,88.0,797023822,797031200.0,814110440.0,0.0009,2.1438
45,90.0,799158799,799142400.0,816266880.0,-0.0021,2.1408
46,92.0,797023822,797036800.0,814116160.0,0.0016,2.1445
47,94.0,800668885,800682400.0,817839880.0,0.0017,2.1446
48,96.0,801014307,801029600.0,818194520.0,0.0019,2.1448
49,98.0,798186259,798173600.0,815277320.0,-0.0016,2.1412
50,100.0,803765792,803784800.0,821008760.0,0.0024,2.1453
51,102.0,803147984,803152000.0,820362400.0,0.0005,2.1434
52,104.0,816886543,816849600.0,834353520.0,-0.0045,2.1382
53,106.0,815266058,815259200.0,832729040.0,-0.0008,2.142
54,108.0,806028914,806047200.0,823319640.0,0.0023,2.1452
55,110.0,800415413,800396800.0,817548160.0,-0.0023,2.1405
56,112.0,810407502,810415200.0,827781240.0,0.0009,2.1438
57,114.0,815986001,815959200.0,833444040.0,-0.0033,2.1395
58,116.0,818587441,818585600.0,836126720.0,-0.0002,2.1426
59,118.0,823664063,823648000.0,841297600.0,-0.002,2.1409
60,120.0,830139975,830116000.0,847904200.0,-0.0029,2.1399
61,122.0,833833459,833823200.0,851690840.0,-0.0012,2.1416
62,124.0,833037099,833022400.0,850872880.0,-0.0018,2.1411
63,126.0,816221702,816216800.0,833707160.0,-0.0006,2.1422
64,128.0,823873936,823883200.0,841537840.0,0.0011,2.144
65,130.0,832856407,832832000.0,850678400.0,-0.0029,2.1399
66,132.0,839446747,839445600.0,857433720.0,-0.0001,2.1427
67,134.0,852428153,852415200.0,870681240.0,-0.0015,2.1413
68,136.0,858437673,858424000.0,876818800.0,-0.0016,2.1412
69,138.0,871027128,871040800.0,889705960.0,0.0016,2.1445
70,140.0,884195350,884184000.0,903130800.0,-0.0013,2.1415
71,142.0,901609028,901611200.0,920931440.0,0.0002,2.1431
72,144.0,909208980,909232800.0,928716360.0,0.0026,2.1455
73,146.0,932841136,932853600.0,952843320.0,0.0013,2.1442
74,148.0,956890388,956844000.0,977347800.0,-0.0048,2.1379
75,150.0,966366612,966341600.0,987048920.0,-0.0026,2.1402
76,152.0,983800131,983824800.0,1004906760.0,0.0025,2.1454
77,154.0,991869710,991849600.0,1013103520.0,-0.002,2.1408
78,156.0,994902695,994929600.0,1016249520.0,0.0027,2.1456
79,158.0,995586640,995556800.0,1016890160.0,-0.003,2.1398
80,160.0,977669473,977659200.0,998609040.0,-0.0011,2.1418
81,162.0,981790534,981764000.0,1002801800.0,-0.0027,2.1401
82,164.0,981916069,981937600.0,1002979120.0,0.0022,2.1451
83,166.0,962195637,962203200.0,982821840.0,0.0008,2.1437
84,168.0,960658130,960635200.0,981220240.0,-0.0024,2.1404
85,170.0,947857207,947867200.0,968178640.0,0.0011,2.1439
86,172.0,932633948,932646400.0,952631680.0,0.0013,2.1442
87,174.0,902189171,902216000.0,921549200.0,0.003,2.1459
88,176.0,893678370,893715200.0,912866240.0,0.0041,2.1471
89,178.0,848877591,848887200.0,867077640.0,0.0011,2.144
90,180.0,818920492,818910400.0,836458480.0,-0.0012,2.1416
91,182.0,779991451,780012800.0,796727360.0,0.0027,2.1457
92,184.0,732646145,732670400.0,748370480.0,0.0033,2.1462
93,186.0,687550668,687556800.0,702290160.0,0.0009,2.1438
94,188.0,669153805,669144000.0,683482800.0,-0.0015,2.1414
95,190.0,635657198,635656000.0,649277200.0,-0.0002,2.1427
96,192.0,584916854,584942400.0,597476880.0,0.0044,2.1473
97,194.0,568262842,568271200.0,580448440.0,0.0015,2.1444
98,196.0,546223976,546240800.0,557945960.0,0.0031,2.146
99,198.0,532278626,532274400.0,543680280.0,-0.0008,2.142
100,200.0,504852027,504851200.0,515669440.0,-0.0002,2.1427
101,202.0,479941414,479959200.0,490244040.0,0.0037,2.1466
102,204.0,466904849,466905600.0,476910720.0,0.0002,2.143
103,206.0,449821826,449825600.0,459464720.0,0.0008,2.1437
104,208.0,437588526,437584000.0,446960800.0,-0.001,2.1418
105,210.0,412741720,412748000.0,421592600.0,0.0015,2.1444
106,212.0,411621771,411628000.0,420448600.0,0.0015,2.1444
107,214.0,401358747,401363200.0,409963840.0,0.0011,2.144
108,216.0,387902449,387912000.0,396224400.0,0.0025,2.1454
109,218.0,384741270,384742400.0,392986880.0,0.0003,2.1432
110,220.0,382744431,382743200.0,390944840.0,-0.0003,2.1425
111,222.0,397247711,397241600.0,405753920.0,-0.0015,2.1413
112,224.0,403226562,403222400.0,411862880.0,-0.001,2.1418
113,226.0,417169361,417149600.0,426088520.0,-0.0047,2.138
114,228.0,430014337,430001600.0,439215920.0,-0.003,2.1398
115,230.0,450348174,450329600.0,459979520.0,-0.0041,2.1386
