slice,t_start_s,sched_bps,goodput_bps,wire_bps,goodput_err_pct,wire_err_pct
0,0.0,1,0.0,0.0,,
1,6.0,1,0.0,0.0,,
2,12.0,109809568,109789866.7,112142506.7,-0.0179,2.1245
3,18.0,90175833,90178666.7,92111066.7,0.0031,2.1461
4,24.0,84233296,84233333.3,86038333.3,0.0,2.1429
5,30.0,88754955,88752533.3,90654373.3,-0.0027,2.1401
6,36.0,97606096,97602400.0,99693880.0,-0.0038,2.139
7,42.0,107549737,107546133.3,109850693.3,-0.0034,2.1394
8,48.0,136932642,136927466.7,139861626.7,-0.0038,2.139
9,54.0,149724000,149719733.3,152928013.3,-0.0028,2.1399
10,60.0,149777793,149777600.0,152987120.0,-0.0001,2.1427
11,66.0,154100149,154098933.3,157401053.3,-0.0008,2.1421
12,72.0,153722744,153721866.7,157015906.7,-0.0006,2.1423
13,78.0,154364514,154362133.3,157669893.3,-0.0015,2.1413
14,84.0,160606962,160606133.3,164047693.3,-0.0005,2.1423
15,90.0,159953364,159954666.7,163382266.7,0.0008,2.1437
16,96.0,159713037,159710133.3,163132493.3,-0.0018,2.141
17,102.0,162291062,162289866.7,165767506.7,-0.0007,2.1421
18,108.0,160145743,160146933.3,163578653.3,0.0007,2.1436
19,114.0,164130175,164126666.7,167643666.7,-0.0021,2.1407
20,120.0,166361296,166361066.7,169925946.7,-0.0001,2.1427
21,126.0,164154572,164154666.7,167672266.7,0.0001,2.1429
22,132.0,170214647,170213866.7,173861306.7,-0.0005,2.1424
23,138.0,176679189,176674400.0,180460280.0,-0.0027,2.1401
24,144.0,186816661,186814133.3,190817293.3,-0.0014,2.1415
25,150.0,196770300,196769066.7,200985546.7,-0.0006,2.1422
26,156.0,198776165,198773866.7,203033306.7,-0.0012,2.1417
27,162.0,195403408,195404533.3,199591773.3,0.0006,2.1434
28,168.0,188769816,188766666.7,192811666.7,-0.0017,2.1412
29,174.0,179685828,179685333.3,183535733.3,-0.0003,2.1426
30,180.0,152752687,152756800.0,156030160.0,0.0027,2.1456
31,186.0,132242964,132244000.0,135077800.0,0.0008,2.1437
32,192.0,111436295,111440000.0,113828000.0,0.0033,2.1463
33,198.0,99048019,99049066.7,101171546.7,0.0011,2.1439
34,204.0,88715112,88715200.0,90616240.0,0.0001,2.143
35,210.0,81195061,81196266.7,82936186.7,0.0015,2.1444
36,216.0,77244599,77242666.7,78897866.7,-0.0025,2.1403
37,222.0,81671655,81672266.7,83422386.7,0.0007,2.1436
38,228.0,95330775,95326933.3,97369653.3,-0.004,2.1387
39,234.0,102867076,102864533.3,105068773.3,-0.0025,2.1403
40,240.0,111010906,111006933.3,113385653.3,-0.0036,2.1392
41,246.0,133216241,133212800.0,136067360.0,-0.0026,2.1402
42,252.0,157908752,157903200.0,161286840.0,-0.0035,2.1393
43,258.0,155042112,155043466.7,158365826.7,0.0009,2.1437
44,264.0,157599908,157598933.3,160976053.3,-0.0006,2.1422
45,270.0,160772848,160768533.3,164213573.3,-0.0027,2.1401
46,276.0,161737833,161737333.3,165203133.3,-0.0003,2.1425
47,282.0,1,28000.0,28600.0,,
