t,tx_bps,rx_bps
0.531,21158.8,21158.8
1.034,22309.3,22309.3
1.537,0.0,0.0
2.04,22328.1,22328.1
2.543,0.0,0.0
3.046,22325.7,22325.7
3.549,0.0,0.0
4.052,22321.6,22321.6
4.555,0.0,0.0
5.059,44649.8,44649.8
5.562,0.0,0.0
6.065,22326.2,22326.2
6.569,0.0,0.0
7.072,22327.2,22327.2
7.575,0.0,0.0
8.078,22321.3,22321.3
8.581,0.0,0.0
9.084,22312.6,22312.6
9.588,0.0,0.0
10.091,14476887.0,14253822.5
10.598,109339909.1,109339909.1
11.101,110908634.3,111131745.6
11.605,109961352.1,109961352.1
12.108,110242276.3,110242276.3
12.615,109589812.6,109390195.5
13.12,110308549.9,110286314.8
13.624,110371668.9,110371668.9
14.127,110202739.8,110202739.8
14.631,110156820.5,110156820.5
15.135,109821513.3,110044229.8
15.639,110139099.0,110139099.0
16.143,105615902.4,105615902.4
16.647,90480979.4,90480979.4
17.151,90468733.5,90290382.1
17.656,90209597.6,90209597.6
18.16,90529315.2,90707434.8
18.664,90450028.4,90450028.4
19.168,90450841.5,90272525.4
19.672,90400921.5,90400921.5
20.176,90428850.1,90607122.8
20.68,90430518.3,90430518.3
21.184,90368223.0,90368223.0
21.689,90435071.9,90435071.9
22.194,88624575.2,88446345.8
22.699,84254971.4,84277202.3
23.203,84084717.4,84062449.2
23.708,84930921.3,85109113.7
24.212,84452711.6,84452711.6
24.716,84627540.2,84449283.1
25.22,84441694.7,84463974.9
25.724,84478397.8,84456113.9
26.228,84411554.3,84589731.7
26.732,84468369.1,84312400.1
27.237,84456226.1,84612172.7
27.741,84525594.7,84458828.8
28.246,86313260.2,86202031.7
28.751,89035011.7,89035011.7
29.256,89083349.1,89083349.1
29.761,88817519.8,88995421.7
30.265,89050655.7,89050655.7
30.77,89099714.9,89099714.9
31.275,89055535.0,89055535.0
31.779,89108274.5,88930147.0
32.284,88912917.5,88912917.5
32.788,89086085.2,89086085.2
33.293,88943893.4,88943893.4
33.797,88998935.5,89177156.2
34.302,93889561.7,93712744.7
34.806,97807968.4,97986084.5
35.311,98002434.1,98002434.1
35.815,97831523.2,97631048.8
36.319,97799094.2,97999456.5
36.824,97972147.6,97972147.6
37.329,97874561.8,97674409.3
37.833,98034964.3,98235444.8
38.338,97748423.6,97549292.5
38.843,97920278.1,98120524.0
39.351,97248063.9,97248063.9
39.856,98269810.3,98069668.1
40.365,103921526.7,103899453.3
40.869,108888798.9,108888798.9
41.374,107750475.6,107973100.6
41.878,108048616.9,107825790.3
42.382,107810644.0,107810644.0
42.887,107742991.1,107965600.6
43.391,107797952.6,107797952.6
43.897,107569894.0,107370238.6
44.402,108213657.1,108414094.0
44.906,107830885.1,107830885.1
45.41,107775839.1,107775839.1
45.914,108058888.6,107836086.8
46.418,130829230.2,131052070.0
46.922,137365523.6,137365523.6
47.426,137335564.9,137045827.4
47.93,137400056.0,137422357.5
48.434,136963792.9,137231039.3
48.938,137550760.5,137283412.0
49.443,137237851.3,137505111.0
49.947,137292307.0,137292307.0
50.451,137216509.2,137216509.2
50.955,137493215.9,137225979.4
51.46,137128486.4,137395533.1
51.964,137494645.8,137494645.8
52.469,148550782.1,148550782.1
52.973,150167003.1,150167003.1
53.477,150337226.8,150047731.4
53.981,150098116.0,150098116.0
54.486,150027378.1,150027378.1
54.99,149996676.0,150286115.9
55.494,150180197.8,150180197.8
55.998,150424543.8,150112598.3
56.507,148728019.5,149037087.7
57.011,151411061.6,151121215.6
57.515,150118691.8,150408324.2
58.019,150139369.7,150139369.7
58.523,150434397.3,150434397.3
59.027,150191946.2,149902258.5
59.532,150057938.2,150057938.2
60.036,150197700.8,150487399.7
60.541,150077067.6,149765981.0
61.047,150035598.5,150057816.1
61.551,150380556.2,150380556.2
62.055,150467121.5,150756738.4
62.559,150166659.4,150166659.4
63.064,150119163.2,150119163.2
63.568,150142162.1,150142162.1
64.072,150847799.0,150558221.2
64.576,154523959.5,154501677.8
65.08,154441926.0,154464199.1
65.585,154334171.9,154311917.5
66.089,154779215.6,154779215.6
66.594,154493416.0,154493416.0
67.098,154434989.6,154746799.5
67.602,154696667.9,154385003.9
68.107,154313375.5,154624939.8
68.613,154391625.9,154391625.9
69.117,154859122.3,154859122.3
69.622,154250637.1,154250637.1
70.126,154769058.8,154457114.3
70.629,154258548.7,154258548.7
71.134,153889612.2,154201084.5
71.638,154457479.1,154145488.8
72.142,154137541.3,154449515.5
72.647,153812273.1,153501002.2
73.153,154044676.3,154355832.8
73.657,154739312.0,154427382.5
74.161,153736122.4,154047915.2
74.665,154479691.1,154479691.1
75.169,154081421.7,153769561.1
75.674,154088051.9,154399925.9
76.178,154354627.3,154354627.3
76.682,154856070.4,154856070.4
77.186,154804812.6,154804812.6
77.69,154784898.2,154784898.2
78.194,155077042.6,154765106.1
78.698,154408045.5,154719846.0
79.202,155073522.2,154761592.7
79.706,154817188.5,155129185.2
80.211,154648225.3,154358788.7
80.715,154658356.5,154947770.4
81.222,154345684.1,154345684.1
81.726,155301425.8,155301425.8
82.23,157674428.2,157362422.3
82.734,161068282.6,161045998.6
83.238,161073808.1,161408124.8
83.743,160971988.4,160971988.4
84.248,160475522.3,160475522.3
84.752,161690856.1,161378883.6
85.257,161010431.7,161322337.9
85.762,160775417.2,160775417.2
86.266,161100636.1,161100636.1
86.771,161176471.1,161176471.1
87.276,161216684.4,161216684.4
87.78,160875922.5,160875922.5
88.285,160578162.1,160578162.1
88.792,159591495.0,159281737.5
89.298,161324041.5,161635349.1
89.802,160666613.6,160332494.7
90.306,159964718.8,160298767.3
90.815,159294188.4,158962923.6
91.319,161764921.0,161787175.1
